Question,Type,Option_A,Option_B,Option_C,Option_D,Option_E,Option_F,Correct_Answers
3. An analyst is creating a story on the Present tab of a workbook in Oracle Analytics Analytics Cloud (OAC). Which statement is true regarding the use of the Present tab in workbooks?,Multiple Choice,The Present tab allows you to create static reports that can only be exported as PDFs.,The Present tab is used to define data connections for external data sources.,The Present tab is used for data preparation and transformation before creating visualizations.,The Present tab allows you to create interactive presentations and stories.,,,D
"You have a global data set for oil prices for a period of time for each country. However, you need to perform analyses on Asian countries for a period of one month.",Checkboxes,Range and Expression,List and Date Range,List and Range,Date Range and Top Bottom,Expression and Date Range,,"B, C"
"You must create an Oracle Autonomous Data Warehouse connection for a data set. What do you need to create this connection for the appropriate schema? TNS descriptor and user credentials, SSO file and user credentials, Wallet file, TNS descriptor, and user credentials, Wallet file and user credentials, SSO file, tnsnames file, and user credentials.",Multiple Choice,TNS descriptor and user credentials,SSO file and user credentials,"Wallet file, TNS descriptor, and user credentials",Wallet file and user credentials,"SSO file, tnsnames file, and user credentials",,C
"32. You are designing an analytics solution for a company that distributes packaged foods for independent retailers. The solution requires self-service analytics capabilities for product management and marketing. In addition, highly formatted reports must be delivered by scheduled email to external resellers. Which edition of Oracle Analytics must you use?",Multiple Choice,OAC Business Intelligence Edition,OAC Enterprise Edition,OA Fusion Analytics Warehouse Edition,OAC Professional Edition,OA Data Visualization Cloud,,B
33. Which is a supported source for registering and using Machine Learning models?,Multiple Choice,Mongo Database,SQL Server,Oracle Cloud Object Storage,Autonomous Data Warehouse,,,D
34. Which are two use-cases for Data Flow?,Checkboxes,Create a custom Python Machine Learning model using OOTB capabilities in Data Flow.,Perform some lightweight transformation within the Workbook.,To curate data sets that can be used for visualizations.,Train and test the Machine Learning model.,,,"C, D"
What are the two steps to create a data set that you can use for analyzing country revenues over time?,Checkboxes,Keep Matching Rows on both data sets and match the ID column,Apply the default Aggregation on Year,Apply the default Aggregation on Revenue_amount,,,,"A, C"
36. Your client wants to implement a custom plug-in from the Oracle Analytics Analytics Library. You just finished uploading the extension to Oracle Analytics Cloud (OAC). What action do you need to take before the extension is available for use in projects?,Multiple Choice,Refresh the page.,Restart the OAC instance.,No additional action is needed.,Enable the plug-in from the Plug-in menu.,,,D
You create a Watchlist in Oracle Analytics Analytics Cloud (OAC) to display critical sales visualizations for your region. Which one of the following statements about adding visualizations to a Watchlist is true?,Multiple Choice,Adding a visualization to a Watchlist removes it from the original workbook.,You can only add visualizations from the same workbook to a Watchlist.,You can add any visualization from any workbook in OAC to a Watchlist.,Watchlists can only contain tables and graphs but cannot include charts.,,,C
"You have created a product type type dashboard prompt and applied it to the Sales dashboard. You have four reports on the Revenue dashboard page. When a user selects and applies the dashboard prompts, the data in two reports is being refreshed as per the prompt values selected, but the data in the two other reports is not getting refreshed. What are two possible reasons for this?",Checkboxes,The reports have a protected filter.,The Reports filter is set to the presentation variable.,The Reports filter formula is different from the prompt column formula.,,,,"B, C"
"The Order page page of the Sales dashboard dashboard contains a report. When a user clicks the value of the States column, the report is displayed in a new window. The user wants the click event drilled down in the same window. How can you achieve this requirement?",Multiple Choice,You can set Link - Within the dashboard in report properties.,It is not possible to open the drill in the report in the same window.,You can set publish page to dashboard in dashboard properties.,You can set the drill in place option in section properties.,,,D
Which two can be defined on a canvas in a story in Oracle Analytics Cloud?,Checkboxes,Notes,Notifications,Filters,Narration,,,"A, D"
You have a business requirement to create a three-month rolling Sales Sales calculation in an Oracle Analytics Cloud Cloud (OAC) workbook. Which time series function are you going to use?,Multiple Choice,"TODATE(Sales, Month)","PERIODROLLING(Sales, -1, 1)","AGO(Sales, Month, 3)","FORECAST(Sales, Month, 3)",,,B
"42. Oracle Applications Applications Connector supports Oracle Fusion Applications Cloud
Which is valid about Oracle Applications Applications Connector?",Multiple Choice,It cannot connect to on-premises Oracle BI Enterprise Edition.,The Active User's Credentials option in the Create Oracle Application Application Connection dialog box cannot be used with Oracle Applications Connector.,"When creating a connection, enter the URL for Oracle Fusion Applications.",It can be used with the Thin Client Modeler.,,,C
Which of these steps is REQUIRED in a Data Flow to create a new curated data set?,Multiple Choice,Add Data,Merge Columns,Filter,Aggregate,,,A
How should you determine the accuracy of a Machine Learning model created in Oracle Analytics Cloud (OAC)?,Multiple Choice,Create a Data Flow that includes a histogram.,Open the Inspect dialog for a given Machine Learning model and review the F1 score.,Use the Debug option in the Data Flow where the model was created.,Run the Machine Learning model with various filter values applied.,,,B
How should you use a machine learning model within a canvas of an Oracle Analytics Cloud Workbook?,Multiple Choice,Create a custom calculation,Create a scenario using the required model,Use the machine learning model for visualization,Create a data sequence,,,B
You are creating an analytics solution for a financial institution using Oracle Analytics Cloud. One of the requirements is a workbook with a model that identifies customers with multiple potential fraudulent transactions. Which algorithm would be the best fit for this purpose?,Multiple Choice,Anomaly Detection,Logistic Regression,Decision Tree,Support Vector Machine,,,A
"When designing a dashboard in the Oracle Analytics Analytics Cloud (OAC) workbook, you want to ensure an optimal viewing experience and alignment of visualizations across various devices such as mobiles, tablets, and laptops. Which two functionalities can be achieved using Canvas Properties in OAC?",Checkboxes,"Hiding, creating, or moving visualizations on the canvas depending on specific breakpoints",Configuring color themes specific to each device type,Defining canvas responsive layouts that adapt to different screen sizes,Setting individual font sizes for data labels within visualizations,Enabling automatic refresh of data based on device type,,"B, C"
48. Which two statements are true about Presentation Presentation Catalog Catalog?,Checkboxes,My Folders can be shared with other users,Catalog items can be set to read-only,You can grant ownership of items you create to other users,"To prevent corruption of the catalog, storage of objects of different types must be segregated into their own folders",,,"B, C"
You are working on a Sales Order Order Data Data Model with Sales Order Order Header and Sales Order Order Details stored in a dataset. There is a fact column that represents the number of items per order. You need to ensure the aggregation aggregation rule for this column is set to Count. Which two methods can be used to set the aggregation aggregation rule for this column to Count within Oracle Analytics Cloud (OAC)?,Checkboxes,Create a new calculated column using the COUNT() aggregation function in the Expression Editor,Change the column's aggregation rule to Count in the Present tab,Changing the column's aggregation rule is not possible after the dataset is imported,Change the column's aggregation rule to Count in the Data tab,,,D
5. What are two benefits of using Oracle Cloud Infrastructure (OCI) Logging to access Oracle Analytics Analytics Cloud (OAC) logs?,Checkboxes,OCI Logging allows direct editing of OAC logs and streamlines data export for external tools.,OCI Logging offers a centralized location for managing logs from OAC resources.,OCI Logging automatically archives OAC logs for disaster recovery purposes.,OCI Logging simplifies compliance auditing for OAC user activity.,,,"B, D"
Which statement statement accurately accurately describes describes the role and and function of of a Data Data Gateway Gateway? It enables enables secure and and efficient data data transfer transfer between between on-premises data data sources sources and and Oracle Oracle Analytics Analytics Cloud Cloud. It serves serves as a tool for for data data visualization visualization within within Oracle Oracle Analytics Analytics Cloud Cloud. It provides provides advanced advanced data data analysis analysis capabilities capabilities for for Oracle Oracle Database Database users users. It is designed designed to to optimize optimize cloud cloud storage storage usage usage within within Oracle Oracle Analytics Analytics Cloud Cloud.,Multiple Choice,It enables enables secure and and efficient data data transfer transfer between between on-premises data data sources sources and and Oracle Oracle Analytics Analytics Cloud Cloud.,It serves serves as a tool for for data data visualization visualization within within Oracle Oracle Analytics Analytics Cloud Cloud.,It provides provides advanced advanced data data analysis analysis capabilities capabilities for for Oracle Oracle Database Database users users.,It is designed designed to to optimize optimize cloud cloud storage storage usage usage within within Oracle Oracle Analytics Analytics Cloud Cloud.,,,A
6. Which version of OBIEE is supported for migration to OAC?,Multiple Choice,OBIEE 12g and later,OBIEE 11.1.X and later,OBIEE 11.1.X and later,OBIEE 10g,OBIEE 12c only,You cannot migrate content from OBIEE to OAC,"A, B"
Which feature in Console is the only way for the Administrator to change the ownership of your colleague's artifacts?,Multiple Choice,Go to the individual artifacts and assign them to the Administrator,Snapshots,System Settings,Users and Roles,Content,,D
"Which technique does Data Preparation in OAC use for recommendation with sensitive information such as SSN, credit card number, and customer number?",Multiple Choice,Sentiment Analysis algorithms,Cryptographic algorithms to encrypt sensitive information,Obfuscation to protect sensitive information,Advanced Analytics functions,,,C
